library	GATA1_ATF4	count	proportion
FAV39284_pass_dca5b723_41ce3bd7	Dual edition	1	0.862068965517241
FAV39284_pass_dca5b723_41ce3bd7	Mono edition	26	22.4137931034483
FAV39284_pass_dca5b723_41ce3bd7	Unmodified	89	76.7241379310345
FAW60490_pass_f881f114_a47281ca	Dual edition	32	29.9065420560748
FAW60490_pass_f881f114_a47281ca	Mono edition	45	42.0560747663551
FAW60490_pass_f881f114_a47281ca	Unmodified	30	28.0373831775701
FAW61367_pass_7060b958_94682466	Dual edition	62	56.8807339449541
FAW61367_pass_7060b958_94682466	Mono edition	31	28.4403669724771
FAW61367_pass_7060b958_94682466	Unmodified	16	14.6788990825688
FAW64023_pass_6211bc3e_9a1fd90d	Dual edition	5	18.5185185185185
FAW64023_pass_6211bc3e_9a1fd90d	Mono edition	8	29.6296296296296
FAW64023_pass_6211bc3e_9a1fd90d	Unmodified	14	51.8518518518518
template_BCL11A_WT	Dual edition	33	1.63609320773426
template_BCL11A_WT	Mono edition	465	23.0540406544373
template_BCL11A_WT	Unmodified	1519	75.3098661378285
