library;position;SVTYPE_size;n;total_reads;proportion
FAV39284_pass_dca5b723_41ce3bd7;GATA1;DEL;1;116;0.01
FAV39284_pass_dca5b723_41ce3bd7;GATA1;INS;1;116;0.01
FAV39284_pass_dca5b723_41ce3bd7;GATA1;Unmodified;114;116;0.98
FAV39284_pass_dca5b723_41ce3bd7;ATF4;DEL;4;116;0.03
FAV39284_pass_dca5b723_41ce3bd7;ATF4;Unmodified;112;116;0.97
FAW60490_pass_f881f114_a47281ca;GATA1;DEL;2;111;0.02
FAW60490_pass_f881f114_a47281ca;GATA1;DEL/INV;1;111;0.01
FAW60490_pass_f881f114_a47281ca;GATA1;Unmodified;105;111;0.95
FAW60490_pass_f881f114_a47281ca;ATF4;DEL;4;111;0.04
FAW60490_pass_f881f114_a47281ca;ATF4;DEL/INV;2;111;0.02
FAW60490_pass_f881f114_a47281ca;ATF4;INS;4;111;0.04
FAW60490_pass_f881f114_a47281ca;ATF4;Unmodified;98;111;0.88
FAW60490_pass_f881f114_a47281ca;GATA1-ATF4;DEL;3;111;0.03
FAW61367_pass_7060b958_94682466;GATA1;DEL;6;126;0.05
FAW61367_pass_7060b958_94682466;GATA1;INS;2;126;0.02
FAW61367_pass_7060b958_94682466;GATA1;Unmodified;103;126;0.82
FAW61367_pass_7060b958_94682466;ATF4;DEL;3;126;0.02
FAW61367_pass_7060b958_94682466;ATF4;INS;2;126;0.02
FAW61367_pass_7060b958_94682466;ATF4;Unmodified;106;126;0.84
FAW61367_pass_7060b958_94682466;GATA1-ATF4;DEL;15;126;0.12
FAW64023_pass_6211bc3e_9a1fd90d;GATA1;INS;2;29;0.07
FAW64023_pass_6211bc3e_9a1fd90d;GATA1;Unmodified;21;29;0.72
FAW64023_pass_6211bc3e_9a1fd90d;ATF4;DEL;6;29;0.21
FAW64023_pass_6211bc3e_9a1fd90d;ATF4;Unmodified;17;29;0.59
FAW64023_pass_6211bc3e_9a1fd90d;GATA1-ATF4;DEL;5;29;0.17
FAW64023_pass_6211bc3e_9a1fd90d;GATA1-ATF4;INV;2;29;0.07
template_BCL11A_DEL;GATA1-ATF4;DEL;2016;2016;1
template_BCL11A_INV;GATA1;DEL;2;2016;0
template_BCL11A_INV;GATA1;INS;4;2016;0
template_BCL11A_INV;GATA1;INV;35;2016;0.02
template_BCL11A_INV;GATA1;Unmodified;16;2016;0.01
template_BCL11A_INV;ATF4;DEL;3;2016;0
template_BCL11A_INV;ATF4;INV;13;2016;0.01
template_BCL11A_INV;ATF4;Unmodified;41;2016;0.02
template_BCL11A_INV;GATA1-ATF4;INV;2026;2016;1
template_BCL11A_WT;GATA1;DEL;1;2017;0
template_BCL11A_WT;GATA1;Unmodified;2016;2017;1
template_BCL11A_WT;ATF4;DEL;3;2017;0
template_BCL11A_WT;ATF4;Unmodified;2014;2017;1
template_BCL11A_microDEL;GATA1;DEL;2016;2018;1
template_BCL11A_microDEL;GATA1;Unmodified;5;2018;0
template_BCL11A_microDEL;ATF4;DEL;2020;2018;1
template_BCL11A_microDEL;ATF4;Unmodified;10;2018;0
template_BCL11A_overDEL;GATA1-ATF4;DEL;2016;2016;1
